FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
0069	Hare, r�	Hare, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B2695 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0070	Havkat, r�	Wolffish (catfish), raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1817 C0267 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0071	Havregryn, beriget	Oats, rolled, enriched	A0125 A0457 A0631 A0683 A0696 A0729 A0814 B1219 C0134 E0100 F0018 G0003 H0138 H0162 H0181 H0223 H0239 J0116 K0003 M0001 N0001 P0024	
0072	Hellefisk, r�	Halibut, greenland, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1589 C0270 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0073	Hellefisk, r�get	Halibut, greenland, smoked	A0267 A0460 A0634 A0717 A0727 A0747 A0803 B1589 C0268 E0150 F0003 G0003 H0118 H0173 J0100 J0131 K0003 M0001 N0001 P0024	
0074	Helleflynder, r�	Halibut, atlantic, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B1877 C0268 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
0075	Hestek�d, r�t	Horse, meat, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1229 C0103 E0151 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0076	Hindb�r, r�	Raspberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1494 C0167 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0077	Hjerte, kalv, r�t	Heart, veal, raw	A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1349 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0078	Hjerte, h�ne (kylling), r�t	Heart, chicken, raw	A0273 A0459 A0633 A0716 A0726 A0743 A0796 B1457 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024 Z0003	
0079	Hjerte, okse, r�t	Heart, beef, raw	A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1161 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0080	Hjerte, svin, r�t	Heart, pork, raw	A0150 A0459 A0633 A0667 A0716 A0726 A0796 B1136 C0201 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0081	Honning	Honey	A0118 A0462 A0636 A0722 A0735 A0836 B1347 C0188 E0121 F0003 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
0082	Hornfisk, r�	Garfish, raw	A0267 A0460 A0634 A0717 A0727 A0747 A0802 B3351 C0265 E0150 F0003 G0003 H0001 J0131 K0003 M0001 N0001 P0024	
