FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
14534	ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF	Alcoholic beverage, liqueur, coffee, 63 proof	A0240 A0850 A1284 B1347 C0001 E0123 F0014 G0003 H0100 H0232 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14015	ALCOHOLIC BEV,PINA COLADA,CND	Alcoholic beverage, pina colada, canned	A0278 A0851 A1284 B1484 C0229 E0123 F0014 G0003 H0158 H0200 H0232 H0332 H0340 J0123 K0003 M0194 N0001 P0188 R0001 Z0112	
14017	ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE	Alcoholic beverage, pina colada, prepared-from-recipe	A0278 A0851 A1284 B1484 C0230 E0123 F0018 G0003 H0158 H0232 H0253 H0270 H0332 H0340 J0001 K0003 M0001 N0001 P0188 R0001 Z0109	
43479	ALCOHOLIC BEV,RICE (SAKE)	Alcoholic beverage, rice (sake)	A0277 A0850 A1284 B1322 C0208 E0123 F0001 G0003 H0232 H0253 J0104 J0131 K0003 M0001 N0001 P0188 R0001 Z0112	
14019	ALCOHOLIC BEV,TEQUILA SUNRISE,CND	Alcoholic beverage, tequila sunrise, canned	A0278 A0851 A1284 B1379 C0271 E0123 F0014 G0003 H0200 H0227 H0232 H0332 J0123 K0003 M0194 N0001 P0188 R0001 Z0112	
14531	ALCOHOLIC BEV,WHISKEY SOUR	Alcoholic beverage, whiskey sour	A0278 A0851 A1284 B1012 C0210 E0114 F0001 G0003 H0100 H0147 H0150 H0200 H0232 H0270 H0332 J0001 K0003 M0001 N0001 P0188 R0001 Z0001	
14027	ALCOHOLIC BEV,WHISKEY SOUR,CND	Alcoholic beverage, whiskey sour, canned	A0278 A0851 A1284 B1012 C0108 E0123 F0014 G0003 H0100 H0232 H0332 J0123 K0003 M0194 N0001 P0188 R0001 Z0112	
14029	ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028	Alcoholic beverage, whiskey sour, prepared from item 14028	A0278 A0851 A1284 B1324 C0155 E0123 F0022 G0003 H0136 H0200 H0227 H0232 J0001 K0003 M0001 N0001 P0188 R0001 Z0001	
14025	ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX	Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix	A0278 A0851 A1284 B1324 C0155 E0123 F0022 G0003 H0100 H0147 H0158 H0200 H0205 H0232 H0253 H0259 J0001 K0003 M0001 N0001 P0188 R0001 Z0001	
43154	ALCOHOLIC BEV,WINE,COOKING	Alcoholic beverage, wine, cooking	A0299 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0003 R0001 Z0112	
14536	ALCOHOLIC BEV,WINE,DSSRT,DRY	Alcoholic beverage, wine, dessert, dry	A0205 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14057	ALCOHOLIC BEV,WINE,DSSRT,SWT	Alcoholic beverage, wine, dessert, sweet	A0224 A0849 A1284 B1329 C0140 E0123 F0003 G0003 H0232 H0253 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
