FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
204	Noten pinda's ongezouten	Peanuts unsalted	A0260 A0703 A0823 B1337 C0132 E0150 F0014 G0005 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
1896	Noten pistache-	Nuts pistachio	A0260 A0703 A0823 B1416 C0155 E0150 F0001 G0005 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
206	Noten wal-	Walnuts	A0260 A0703 A0823 B1290 C0155 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
2019	Novasource GI control p 100 ml Novartis	Pef Novasource GI control per 100 ml	A0869 B0001	
2193	Novasource Start p 100 ml Novartis	Pef Novasource Start p 100 ml	A0869 B0001	
1768	Nutilis poeder Nutricia	Thickening agent powder Nutilis	A0869 B0001	
2092	Nutramigen 1 LGG p 100 ml Mead Johnson	Mwmf Nutramigen 1 LGG p 100 ml	A0873 B0001	
2091	Nutramigen 1 LGG poeder Mead Johnson	Mwmf Nutramigen 1 LGG powder	A0873 B0001	
2094	Nutramigen 2 LGG p 100 ml Mead Johnson	Mwmf Nutramigen 2 LGG p 100 ml	A0873 B0001	
2093	Nutramigen 2 LGG poeder Mead Johnson	Mwmf Nutramigen 2 LGG powder	A0873 B0001	
1784	Nutramigen p 100 ml Mead Johnson	Mwmf Nutramigen per 100 ml	A0873 B0001	
1785	Nutramigen poeder Mead Johnson	Mwmf Nutramigen powder	A0873 B0001	
1040	Nutri-2000 p 100 ml Nutricia	Mf Nutri-2000 per 100 ml	A0869 B0001	
1342	Nutri-2000 poeder Nutricia	Mf Nutri-2000 powder	A0869 B0001	
1064	Nutrical p 100 ml Nutricia	Modular glucose drink Nutrical per 100 m	A0869 B0001	
1702	Nutridrink Multi Fibre p 100 ml Nutricia	Pd Nutridrink Multi Fibre per 100 ml	A0869 B0001	
1246	Nutridrink p 100 ml Nutricia	Polymeric drink Nutridrink p 100 ml	A0869 B0001	
1639	Nutri-Junior p 100 ml Nutricia	Mwmf Nutri-Junior per 100 ml	A0869 B0001	
1690	Nutri-Junior poeder Nutricia	Mwmf Nutri-Junior powder	A0869 B0001	
1261	Nutrilon 1 p 100 ml Nutricia	Imf Nutrilon 1 per 100 ml	A0869 B0001	
1282	Nutrilon 1 poeder Nutricia	Imf Nutrilon 1 powder	A0869 B0001	
1687	Nutrilon 2 p 100 ml Nutricia	Wmf Nutrilon 2 per 100 ml	A0869 B0001	
1328	Nutrilon 2 poeder Nutricia	Wmf Nutrilon 2 powder	A0869 B0001	
1973	Nutrilon 3 p 100 ml Nutricia	Mwmf Nutrilon 3 per 100 ml	A0869 B0001	
1974	Nutrilon 3 poeder Nutricia	Wmf Nutrilon 3 powder	A0869 B0001	
1604	Nutrilon AR 1 p 100 ml Nutricia	Mwmf Nutrilon AR 1 per 100 ml	A0869 B0001	
1636	Nutrilon AR 1 poeder Nutricia	Mwmf Nutrilon AR 1 powder	A0869 B0001	
2171	Nutrilon AR 2 p 100 ml Nutricia	Mwmf Nutrilon AR 2 per 100 ml	A0869 B0001	
2160	Nutrilon AR 2 poeder Nutricia	Mwmf Nutrilon AR 2 powder	A0869 B0001	
1713	Nutrilon Forte 1 p 100 ml Nutricia	Imf Nutrilon Forte 1 per 100 ml	A0869 B0001	
1714	Nutrilon Forte 1 poeder Nutricia	Imf Nutrilon Forte 1 powder	A0869 B0001	
2170	Nutrilon Forte 2 p 100 ml Nutricia	Mwmf Nutrilon Forte 2 p 100 ml	A0869 B0001	
2161	Nutrilon Forte 2 poeder Nutricia	Mwmf Nutrilon Forte 2 powder	A0869 B0001	
2168	Nutrilon Hypo-allergeen 1 p 100 ml Nutricia	Mwmf Nutrilon Hypo-allergeen 1 p 100ml	A0869 B0001	
2155	Nutrilon Hypo-allergeen 1 poeder Nutricia	Mwmf Nutrilon Hypo-allergeen 1 powder	A0869 B0001	
2169	Nutrilon Hypo-allergeen 2 p 100 ml Nutricia	Mwmf Nutrilon Hypo-allergeen 2 p 100 ml	A0869 B0001	
2156	Nutrilon Hypo-allergeen 2 poeder Nutricia	Mwmf Nutrilon Hypo-allergeen 2 powder	A0869 B0001	
1686	Nutrilon laag lactose p 100 ml Nutricia	Mwmf Nutrilon low lactose per 100 ml	A0869 B0001	
1283	Nutrilon laag lactose poeder Nutricia	Mwmf Nutrilon low lactose powder	A0869 B0001	
1975	Nutrilon Omneo 1 p 100 ml Nutricia	Imf Nutrilon Omneo 1 per 100 ml	A0873 B0001	
1976	Nutrilon Omneo 1 poeder Nutricia	Imf Nutrilon Omneo 1 poeder	A0873 B0001	
1977	Nutrilon Omneo 2 p 100 ml Nutricia	Wmf Nutrilon Omneo 2 per 100 ml	A0869 B0001	
1978	Nutrilon Omneo 2 poeder Nutricia	Wmf Nutrilon Omneo 2 poeder	A0869 B0001	
1637	Nutrilon Pepti 1 p 100 ml Nutricia	Mwmf Nutrilon Pepti 1 per 100 ml	A0869 B0001	
1638	Nutrilon Pepti 1 poeder Nutricia	Mwmf Nutrilon Pepti 1 powder	A0869 B0001	
1649	Nutrilon Pepti 2 per 100 ml Nutricia	Mwmf Nutrilon Pepti 2 per 100 ml	A0869 B0001	
1681	Nutrilon Pepti 2 poeder Nutricia	Mwmf Nutrilon Pepti 2 poeder	A0869 B0001	
2172	Nutrilon Peuter-Groei-melk p 100 ml Nutricia	Nutrilon toddler milk p 100 ml	A0873 B0001	
1715	Nutrilon Soya 1 per 100 ml Nutricia	Imf Soya 1 per 100 ml	A0869 B1452	
1304	Nutrilon Soya 1 poeder Nutricia	Imf Nutrilon Soya 1 powder	A0869 B1452	
1331	Nutrilon Soya 2 per 100 ml Nutricia	Mwmf Nutrilon Soya 2 per 100 ml	A0869 B1452	
1330	Nutrilon Soya 2 poeder Nutricia	Mwmf Nutrilon Soya 2 powder	A0869 B1452	
2128	Nutrini Energy Multi Fibre p 100 ml Nutricia	Pef Nutrini Energy Multi Fibre p 100 ml	A0869 B0001	
2126	Nutrini Energy p 100 ml Nutricia	Pef Nutrini Energy p 100 ml	A0869 B0001	
2127	Nutrini Multi Fibre p 100 ml Nutricia	Pef Nutrini Multi Fibre p 100 ml	A0869 B0001	
2125	Nutrini p 100 ml Nutricia	Pef Nutrini p 100 ml	A0869 B0001	
1688	Nutrison Concentrated 40 p 100 ml Nutricia	Pef Nutrison concentrated 40 p 100 ml	A0869 B0001	
1689	Nutrison Concentrated p 100 ml Nutricia	Pef Nutrison concentrated p 100 ml	A0869 B0001	
2131	Nutrison Energy Multi Fibre p 100 ml Nutricia	Pef Nutrison Energy Multi Fibre	A0869 B0001	
1029	Nutrison Energy p 100 ml Nutricia	Pef Nutrison Energy p 100 ml	A0869 B0001	
1993	Nutrison low Energy Multi Fibre p 100 ml Nutricia	Pef Nutrison l Energy Multi Fibre	A0869 B0001	
1682	Nutrison low Energy p 100 ml Nutricia	Pef Nutrison low Energy per 100 ml	A0869 B0001	
1341	Nutrison Multi Fibre p 100 ml Nutricia	Pef Nutrison Multi Fibre per 100 ml	A0869 B0001	
1700	Nutrison Paediatric Energy p 100 ml Nutricia	Pef Nutrison Paediatric Energy p 100 ml	A0869 B0001	
1684	Nutrison Paediatric Standard per 100 ml Nutricia	Pef Nutrison Paediatric Standard	A0869 B0001	
1032	Nutrison Powder Nutricia	Pef Nutrison powder	A0869 B0001	
1252	Nutrison Pre p 100 ml Nutricia	Pef Nutrison Pre per 100 ml	A0869 B0001	
2130	Nutrison Protein Plus Multi Fib p 100 ml Nutricia	Pef Nutrison Protein Multi Fib p 100 ml	A0869 B0001	
1683	Nutrison Protein Plus p 100 ml Nutricia	Pef Nutrison Protein Plus per 100 ml	A0869 B0001	
1031	Nutrison Soya p 100 ml Nutricia	Pef Nutrison Soya p 100 ml	A0869 B1452	
1030	Nutrison Standard p 100 ml Nutricia	Pef Nutrison Standard p 100 ml	A0869 B0001	
2103	Nutrison Vitaplus Multi Fibre p 100 ml Nutricia	Pef Nutrison Vitaplus Multi fibre p100ml	A0869 B0001	
1751	Nutrison Vitaplus per 100 ml Nutricia	Pef Nutrison Vitaplus per 100 ml	A0869 B0001	
1332	Nutriton instant poeder Nutricia	Thickening agent instant powder Nutriton	A0869 B0001	
570	Nuts	Nuts candybar	A0839 B1012	
354	Oesters	Oysters	A0267 A0717 A0802 B1951 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
